FIPS,State,Area,LessDiploma,Diploma,SomeCollege,BA+
6001,CA,Alameda County,"135,524","205,980","275,053","556,105"
6013,CA,Contra Costa County,"82,921","135,825","235,034","333,398"
6017,CA,El Dorado County,"9,029","29,137","51,867","46,995"
6037,CA,Los Angeles County,"1,437,059","1,419,449","1,789,308","2,241,079"
6041,CA,Marin County,"12,759","20,018","44,352","113,274"
6059,CA,Orange County,"315,045","373,447","599,846","880,086"
6061,CA,Placer County,"14,777","48,614","99,628","107,378"
6065,CA,Riverside County,"280,136","418,902","512,894","347,937"
6067,CA,Sacramento County,"126,265","230,622","354,374","317,319"
6069,CA,San Benito County,"7,616","9,644","14,012","7,686"
6071,CA,San Bernardino County,"270,241","355,250","441,645","283,484"
6073,CA,San Diego County,"282,031","409,613","683,145","871,782"
6075,CA,San Francisco County,"80,204","83,795","127,615","403,716"
6081,CA,San Mateo County,"57,386","81,909","130,946","281,049"
6085,CA,Santa Clara County,"155,203","188,180","292,055","699,520"
6113,CA,Yolo County,"17,179","23,086","34,470","52,851"
