FIPS_Code,Area,2015,2016,2017,2018,2019
6001,"Alameda County, CA",4.8,4.3,3.7,3.1,3
6013,"Contra Costa County, CA",5.1,4.5,3.9,3.2,3.1
6017,"El Dorado County, CA",5.7,5.2,4.4,3.7,3.6
6037,"Los Angeles County, CA",6.7,5.3,4.8,4.7,4.6
6041,"Marin County, CA",3.6,3.3,2.9,2.4,2.4
6059,"Orange County, CA",4.5,4.1,3.5,3,2.8
6061,"Placer County, CA",5.1,4.5,3.9,3.2,3.2
6065,"Riverside County, CA",6.7,6.1,5.3,4.5,4.2
6067,"Sacramento County, CA",6,5.4,4.7,3.9,3.7
6069,"San Benito County, CA",7.6,6.7,5.8,5.1,5
6071,"San Bernardino County, CA",6.5,5.8,5,4.1,3.9
6073,"San Diego County, CA",5.2,4.7,4,3.4,3.3
6075,"San Francisco County/city, CA",3.7,3.3,2.9,2.4,2.2
6081,"San Mateo County, CA",3.4,3.1,2.7,2.3,2.1
6085,"Santa Clara County, CA",4.2,3.8,3.2,2.7,2.5
6113,"Yolo County, CA",6.5,5.9,5.1,4.3,4.2
